 i  j inwind              x              z         v_x         v_y          v_z      rho     t_r
 6 19     -1   8320000000.0  88800000000.0  80400000.0  31900000.0  971000000.0      0.0     0.0
 6 20     -1   8320000000.0 116000000000.0  72500000.0  28200000.0 1120000000.0      0.0     0.0
 6 21     -1   8320000000.0 152000000000.0  62900000.0  24800000.0 1260000000.0      0.0     0.0
 6 22     -1   8320000000.0 199000000000.0  52700000.0  21800000.0 1370000000.0      0.0     0.0
 6 23     -1   8320000000.0 260000000000.0  43100000.0  19100000.0 1450000000.0      0.0     0.0
 6 24     -1   8320000000.0 341000000000.0  34600000.0  16800000.0 1510000000.0      0.0     0.0
 6 25     -1   8320000000.0 446000000000.0  27300000.0  14700000.0 1560000000.0      0.0     0.0
 6 26     -1   8320000000.0 584000000000.0  21400000.0  12900000.0 1590000000.0      0.0     0.0
 6 27     -1   8320000000.0 764000000000.0  16600000.0  11300000.0 1610000000.0      0.0     0.0
 6 28     -1   8320000000.0          1e+12  12800000.0   9870000.0 1620000000.0      0.0     0.0
 6 29     -1   8320000000.0       1.31e+12   9890000.0   8640000.0 1630000000.0      0.0     0.0
 7  0     -1  10300000000.0            0.0    544000.0 101000000.0     254000.0      0.0     0.0
 7  1      1  10300000000.0    700000000.0   2070000.0  93700000.0     965000.0 4.08e-11 16900.0
 7  2      1  10300000000.0    916000000.0   2870000.0  91200000.0    1340000.0 2.58e-11 19300.0
 7  3      1  10300000000.0   1200000000.0   3550000.0  89500000.0    1870000.0 1.55e-11 20000.0
 7  4      1  10300000000.0   1570000000.0   4420000.0  87400000.0    2620000.0 1.08e-11 20700.0
 7  5      1  10300000000.0   2050000000.0   5550000.0  85100000.0    3730000.0 7.83e-12 21900.0
 7  6      0  10300000000.0   2690000000.0   6990000.0  82400000.0    5370000.0 5.49e-12 25000.0
 7  7      0  10300000000.0   3520000000.0   8860000.0  79400000.0    7820000.0 3.71e-12 30300.0
 7  8      0  10300000000.0   4600000000.0  11300000.0  76100000.0   11500000.0 2.39e-12 35300.0
 7  9      0  10300000000.0   6020000000.0  14400000.0  72500000.0   17200000.0 1.47e-12 38900.0
 7 10      0  10300000000.0   7880000000.0  18400000.0  68500000.0   25800000.0 8.57e-13 41800.0
 7 11      0  10300000000.0  10300000000.0  23400000.0  64300000.0   39100000.0 4.73e-13 42600.0
 7 12      0  10300000000.0  13500000000.0  29800000.0  59900000.0   59700000.0 2.48e-13 44000.0
 7 13      1  10300000000.0  17700000000.0  37500000.0  55400000.0   91300000.0 1.24e-13 45200.0
 7 14      1  10300000000.0  23100000000.0  46600000.0  50600000.0  140000000.0 6.44e-14 44700.0
 7 15     -1  10300000000.0  30300000000.0  57000000.0  45600000.0  213000000.0      0.0     0.0
 7 16     -1  10300000000.0  39600000000.0  67900000.0  40900000.0  319000000.0      0.0     0.0
 7 17     -1  10300000000.0  51800000000.0  78300000.0  36400000.0  466000000.0      0.0     0.0
 7 18     -1  10300000000.0  67800000000.0  86700000.0  32300000.0  657000000.0      0.0     0.0
 7 19     -1  10300000000.0  88800000000.0  92200000.0  28600000.0  894000000.0      0.0     0.0
 7 20     -1  10300000000.0 116000000000.0  90200000.0  25200000.0 1120000000.0      0.0     0.0
 7 21     -1  10300000000.0 152000000000.0  78100000.0  22200000.0 1260000000.0      0.0     0.0
 7 22     -1  10300000000.0 199000000000.0  65600000.0  19500000.0 1370000000.0      0.0     0.0
 7 23     -1  10300000000.0 260000000000.0  53600000.0  17200000.0 1450000000.0      0.0     0.0
 7 24     -1  10300000000.0 341000000000.0  43000000.0  15100000.0 1510000000.0      0.0     0.0
 7 25     -1  10300000000.0 446000000000.0  34000000.0  13200000.0 1560000000.0      0.0     0.0
 7 26     -1  10300000000.0 584000000000.0  26600000.0  11600000.0 1590000000.0      0.0     0.0
 7 27     -1  10300000000.0 764000000000.0  20700000.0  10100000.0 1610000000.0      0.0     0.0
 7 28     -1  10300000000.0          1e+12  16000000.0   8850000.0 1620000000.0      0.0     0.0
 7 29     -1  10300000000.0       1.31e+12  12300000.0   7750000.0 1630000000.0      0.0     0.0
 8  0     -1  12900000000.0            0.0    544000.0  90900000.0     254000.0      0.0     0.0
 8  1     -1  12900000000.0    700000000.0   1890000.0  85400000.0     881000.0      0.0     0.0
 8  2     -1  12900000000.0    916000000.0   2600000.0  83600000.0    1210000.0      0.0     0.0
 8  3     -1  12900000000.0   1200000000.0   3700000.0  81300000.0    1730000.0      0.0     0.0
 8  4     -1  12900000000.0   1570000000.0   5440000.0  78100000.0    2540000.0      0.0     0.0
 8  5      1  12900000000.0   2050000000.0   8270000.0  73700000.0    3860000.0 4.54e-12 21200.0
 8  6      1  12900000000.0   2690000000.0  10000000.0  71400000.0    5490000.0 2.79e-12 23000.0
 8  7      1  12900000000.0   3520000000.0  12100000.0  69000000.0    7860000.0 2.13e-12 25900.0
 8  8      0  12900000000.0   4600000000.0  14800000.0  66300000.0   11400000.0 1.53e-12 31000.0
 8  9      0  12900000000.0   6020000000.0  18300000.0  63300000.0   16700000.0 1.04e-12 36100.0
 8 10      0  12900000000.0   7880000000.0  22700000.0  60000000.0   24700000.0 6.64e-13 38900.0
 8 11      0  12900000000.0  10300000000.0  28200000.0  56500000.0   36900000.0 3.96e-13 41100.0
 8 12      0  12900000000.0  13500000000.0  35100000.0  52700000.0   55700000.0 2.21e-13 42000.0
 8 13      0  12900000000.0  17700000000.0  43600000.0  48800000.0   84300000.0 1.17e-13 43200.0
 8 14      1  12900000000.0  23100000000.0  53500000.0  44900000.0  127000000.0 5.85e-14 44000.0
 8 15      1  12900000000.0  30300000000.0  64600000.0  40900000.0  192000000.0 3.08e-14 44200.0
 8 16     -1  12900000000.0  39600000000.0  76400000.0  36600000.0  287000000.0      0.0     0.0
 8 17     -1  12900000000.0  51800000000.0  87700000.0  32700000.0  417000000.0      0.0     0.0
 8 18     -1  12900000000.0  67800000000.0  96900000.0  29000000.0  589000000.0      0.0     0.0
 8 19     -1  12900000000.0  88800000000.0 103000000.0  25700000.0  801000000.0      0.0     0.0
 8 20     -1  12900000000.0 116000000000.0 105000000.0  22600000.0 1050000000.0      0.0     0.0
 8 21     -1  12900000000.0 152000000000.0  97200000.0  19900000.0 1260000000.0      0.0     0.0
 8 22     -1  12900000000.0 199000000000.0  81500000.0  17500000.0 1370000000.0      0.0     0.0
 8 23     -1  12900000000.0 260000000000.0  66600000.0  15400000.0 1450000000.0      0.0     0.0
 8 24     -1  12900000000.0 341000000000.0  53400000.0  13500000.0 1510000000.0      0.0     0.0
 8 25     -1  12900000000.0 446000000000.0  42200000.0  11800000.0 1550000000.0      0.0     0.0
 8 26     -1  12900000000.0 584000000000.0  33100000.0  10400000.0 1590000000.0      0.0     0.0
 8 27     -1  12900000000.0 764000000000.0  25700000.0   9070000.0 1610000000.0      0.0     0.0
 8 28     -1  12900000000.0          1e+12  19800000.0   7940000.0 1620000000.0      0.0     0.0
 8 29     -1  12900000000.0       1.31e+12  15300000.0   6950000.0 1630000000.0      0.0     0.0
 9  0     -1  16000000000.0            0.0    544000.0  81500000.0     254000.0      0.0     0.0
 9  1     -1  16000000000.0    700000000.0   1740000.0  77600000.0     809000.0      0.0     0.0
 9  2     -1  16000000000.0    916000000.0   2350000.0  76300000.0    1100000.0      0.0     0.0
 9  3     -1  16000000000.0   1200000000.0   3310000.0  74700000.0    1540000.0      0.0     0.0
 9  4     -1  16000000000.0   1570000000.0   4790000.0  72400000.0    2240000.0      0.0     0.0
 9  5     -1  16000000000.0   2050000000.0   7150000.0  69400000.0    3330000.0      0.0     0.0
 9  6     -1  16000000000.0   2690000000.0  11000000.0  65200000.0    5120000.0      0.0     0.0
 9  7      1  16000000000.0   3520000000.0  17500000.0  59200000.0    8160000.0 1.17e-12 25000.0
 9  8      1  16000000000.0   4600000000.0  20500000.0  57100000.0   11600000.0 8.09e-13 27000.0
 9  9      0  16000000000.0   6020000000.0  24200000.0  54800000.0   16600000.0 6.24e-13 31900.0
 9 10      0  16000000000.0   7880000000.0  28800000.0  52200000.0   24100000.0 4.47e-13 36300.0
 9 11      0  16000000000.0  10300000000.0  34800000.0  49300000.0   35400000.0 2.96e-13 38700.0
 9 12      0  16000000000.0  13500000000.0  42200000.0  46200000.0   52500000.0 1.81e-13 40700.0
 9 13      0  16000000000.0  17700000000.0  51300000.0  42900000.0   78500000.0 1.03e-13 41200.0
 9 14      0  16000000000.0  23100000000.0  62000000.0  39600000.0  117000000.0 5.48e-14 42600.0
 9 15      1  16000000000.0  30300000000.0  73900000.0  36300000.0  175000000.0 2.78e-14 43700.0
