IonV   Ti  22   3   5   27.49190 1000   0     ..2s^22p^63s^23p^63d^2(3F_2) 
IonV   Ti  22   4   4   43.26750 1000   0     ..2s^22p^63s^23p^63d(2D_{3/2}) 
IonV   Ti  22   5   1   99.30000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV   Ti  22   6   4  119.53000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV   Ti  22   8   4  170.40000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV   Ti  22   9   1  192.10000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV   Ti  22  10   2  215.90000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Ti  22  11   1  265.00000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Ti  22  12   2  291.50200 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Ti  22  13   1  787.84000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Ti  22  14   4  863.10000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Ti  22  15   5  941.90000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Ti  22  16   4 1044.00000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Ti  22  17   1 1131.00000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Ti  22  18   2 1221.00000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Ti  22  19   1 1346.00000 1000   0     1s^22s^2(1S_0) 
IonV   Ti  22  20   2 1425.30000 1000   0     1s^22s(2S_{1/2}) 
IonV   Ti  22  21   1 6249.20000 1000   0     1s^2(1S_0) 
IonV   Ti  22  22   2 6625.82000 1000   0     1s(2S_{1/2}) 
IonV   Ti  22  23   1 1.0000e+20   0   0     Bare 

IonV    V  23   1   4    6.74000 1000   0     ..2p^63s^23p^63d^34s^2(4F_{3/2}) 
IonV    V  23   2   1   14.66000 1000   0     ..2s^22p^63s^23p^63d^4(5D_0) 
IonV    V  23   3   4   29.31100 1000   0     ..2s^22p^63s^23p^63d^3(4F_{3/2}) 
IonV    V  23   4   5   46.70900 1000   0     ..2s^22p^63s^23p^63d^2(3F_2) 
IonV    V  23   5   4   65.28220 1000   0     ..2s^22p^63s^23p^63d(2D_{3/2}) 
IonV    V  23   6   1  128.13000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV    V  23   7   4  150.60000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV    V  23   8   5  173.40000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV    V  23   9   4  205.80000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV    V  23  10   1  230.50000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV    V  23  11   2  255.70000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV    V  23  12   1  308.10000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV    V  23  13   2  336.28000 1000   0     1s^22s^22p^63s(2S_{1/2}) 
